Fly,Pre Opto Forward Velocity ,Opto On Forward Velocity,Pre Opto Rotational Speed,Opto On Rotational Speed,Pre Opto Forward Acceleration,Opto On Forward Acceleration,Pre Opto Rotational Acceleration ,Opto On Rotational Acceleration
1,8.4407,6.4042,66.5745,145.1049,-0.000025377,-0.000098299,0.0013718,0.0031255
2,7.9045,5.1578,65.4342,142.6194,0.000032577,-0.00026203,0.00031371,0.0053676
3,6.9696,7.03,72.5861,69.0897,0.000050909,0.00013741,0.0014192,-0.00064875
5,6.332,7.0899,52.7473,52.3753,4.0787E-07,-0.000047407,0.000079212,0.0008182
6,4.7738,6.3986,84.321,66.5129,0.000039028,-3.5646E-06,-0.000094001,-0.0014147
7,6.3552,7.1755,57.0148,110.5166,0.000058933,-0.00019323,-0.0002267,0.0056874
8,5.2995,4.3299,80.921,76.7785,-0.00007964,-0.000073621,-0.0020694,0.001025
12,5.0658,4.5647,84.5306,81.4162,-0.000064371,0.000057401,-0.000019799,0.00022674
14,5.9842,2.0206,41.4894,105.7223,2.6145E-07,-0.00021792,0.00015489,0.0043135
15,5.0743,6.0477,78.3546,36.8003,0.000071602,0.000018166,-0.0025476,0.00064447
16,8.1543,6.6365,81.9934,131.832,3.5229E-06,-0.00002695,0.0013134,0.0040093
17,5.1725,4.2245,50.7559,69.6163,-0.00012295,0.000025844,-0.00042013,0.0017689
18,6.0571,5.8864,67.4907,89.9077,-0.000052589,-0.00011704,-0.00057628,0.0049813
19,7.6378,5.1237,62.2505,127.8113,-0.000092359,-0.00015239,-0.00051069,0.0052461
20,5.7029,5.6607,62.0966,83.4093,0.000085361,-0.000058033,-0.00072078,0.0041332
24,5.7255,6.3532,69.6166,93.4736,0.000046913,-0.000011461,-5.7847E-06,0.0020424
25,7.4997,7.9916,76.8334,85.7773,0.000024691,3.1914E-06,0.00045512,0.0014776
26,7.5135,4.8125,95.4579,146.7991,0.000018939,-0.00020678,-0.00044095,-0.00020678
29,5.5602,1.5648,54.1717,90.2082,-0.000024029,-0.00013932,0.0011268,0.0023323
30,4.1243,2.2469,51.1076,21.6383,-0.0000729,-0.000067067,0.00027333,-0.0011272
34,4.3834,2.8527,41.3409,62.6937,-0.000060037,-0.000094558,-0.000082105,0.0018039
35,4.233,5.8826,44.0757,25.164,-0.00003645,0.000072947,0.00057421,-0.00087621
39,5.2396,3.8656,52.6416,51.7535,-5.5864E-07,0.00092619,-0.0004981,-0.00015942
40,6.4795,4.1951,46.3924,92.1665,0.000063889,-0.00014262,-0.00055238,0.0030865
42,4.8817,2.2142,109.0892,45.3305,-0.000037858,-0.000028218,-0.00020713,-0.0018423
43,3.3896,4.0746,51.3349,50.8203,-0.00019918,7.6201E-06,-0.0032198,-0.0019838
44,4.8561,1.9019,70.6738,128.6426,0.00012649,-0.00021078,-0.0022988,0.003434
45,4.5841,2.5267,62.9381,86.4868,0.000038163,-0.000089671,-0.0017689,0.0017335
46,4.2652,0.5705,66.0758,102.0053,0.000020036,-0.00027407,-0.001108,0.0064495
